title,description,published date,url,publisher
Do I need any more COVID vaccinations? - Harvard Health,Do I need any more COVID vaccinations?  Harvard Health,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmhlYWx0aC5oYXJ2YXJkLmVkdS9kaXNlYXNlcy1hbmQtY29uZGl0aW9ucy9kby1pLW5lZWQtYW55LW1vcmUtY292aWQtdmFjY2luYXRpb25z0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.harvard.edu', 'title': 'Harvard Health'}"
COVID-19 report details continuing Veteran health care support - VA News - VA.gov Home | Veterans Affairs,COVID-19 report details continuing Veteran health care support - VA News  VA.gov Home | Veterans Affairs,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vbmV3cy52YS5nb3YvMTI0MjkwL2NvdmlkLTE5LXJlcG9ydC1kZXRhaWxzLWhlYWx0aC1jYXJlLXN1cHBvcnQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.va.gov', 'title': 'VA.gov Home | Veterans Affairs'}"
What's behind the messy rollout of this fall's new COVID vaccines - PBS NewsHour,What's behind the messy rollout of this fall's new COVID vaccines  PBS NewsHour,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvc2hvdy93aGF0cy1iZWhpbmQtdGhlLW1lc3N5LXJvbGxvdXQtb2YtdGhpcy1mYWxscy1uZXctY292aWQtdmFjY2luZXPSAWVodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL2FtcC9zaG93L3doYXRzLWJlaGluZC10aGUtbWVzc3ktcm9sbG91dC1vZi10aGlzLWZhbGxzLW5ldy1jb3ZpZC12YWNjaW5lcw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.pbs.org', 'title': 'PBS NewsHour'}"
New study reveals alarming cardiovascular risks from COVID - News-Medical.Net,New study reveals alarming cardiovascular risks from COVID  News-Medical.Net,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Lm5ld3MtbWVkaWNhbC5uZXQvbmV3cy8yMDIzMTAwMS9OZXctc3R1ZHktcmV2ZWFscy1hbGFybWluZy1jYXJkaW92YXNjdWxhci1yaXNrcy5hc3B40gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.news-medical.net', 'title': 'News-Medical.Net'}"
"What parents need to know about common viruses: Colds, flu, COVID, RSV and more - UChicago Medicine","What parents need to know about common viruses: Colds, flu, COVID, RSV and more  UChicago Medicine","Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnVjaGljYWdvbWVkaWNpbmUub3JnL2ZvcmVmcm9udC9wZWRpYXRyaWNzLWFydGljbGVzLzIwMjMvb2N0b2Jlci92aXJ1c2VzLWNvbGRzLWZsdS1jb3ZpZC1yc3bSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.uchicagomedicine.org', 'title': 'UChicago Medicine'}"
‘Bugger!’: New Zealand PM gets COVID at critical point in election campaign - Al Jazeera English,‘Bugger!’: New Zealand PM gets COVID at critical point in election campaign  Al Jazeera English,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEwLzEvYnVnZ2VyLW5ldy16ZWFsYW5kLXBtLWdldHMtY292aWQtYXQtY3JpdGljYWwtcG9pbnQtaW4tZWxlY3Rpb24tY2FtcGFpZ27SAXRodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTAvMS9idWdnZXItbmV3LXplYWxhbmQtcG0tZ2V0cy1jb3ZpZC1hdC1jcml0aWNhbC1wb2ludC1pbi1lbGVjdGlvbi1jYW1wYWlnbg?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.aljazeera.com', 'title': 'Al Jazeera English'}"
Embattled Eastpointe mayor pleads to reduced charge after lying about COVID-19 grant • Michigan Advance - Michigan Advance,Embattled Eastpointe mayor pleads to reduced charge after lying about COVID-19 grant • Michigan Advance  Michigan Advance,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vbWljaGlnYW5hZHZhbmNlLmNvbS9icmllZnMvZW1iYXR0bGVkLWVhc3Rwb2ludGUtbWF5b3ItcGxlYWRzLXRvLXJlZHVjZWQtY2hhcmdlLWFmdGVyLWx5aW5nLWFib3V0LWNvdmlkLTE5LWdyYW50L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://michiganadvance.com', 'title': 'Michigan Advance'}"
The Covid Cover-up - City Journal,The Covid Cover-up  City Journal,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3LmNpdHktam91cm5hbC5vcmcvYXJ0aWNsZS90aGUtY292aWQtY292ZXJ1cNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.city-journal.org', 'title': 'City Journal'}"
"COVID-19–Era Machine-Readable Visa Fee Receipts Will Expire on September 30, 2023, State Department Announces - Ogletree Deakins","COVID-19–Era Machine-Readable Visa Fee Receipts Will Expire on September 30, 2023, State Department Announces  Ogletree Deakins","Sat, 30 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMinwFodHRwczovL29nbGV0cmVlLmNvbS9pbnNpZ2h0cy1yZXNvdXJjZXMvYmxvZy1wb3N0cy9jb3ZpZC0xOS1lcmEtbWFjaGluZS1yZWFkYWJsZS12aXNhLWZlZS1yZWNlaXB0cy13aWxsLWV4cGlyZS1vbi1zZXB0ZW1iZXItMzAtMjAyMy1zdGF0ZS1kZXBhcnRtZW50LWFubm91bmNlcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://ogletree.com', 'title': 'Ogletree Deakins'}"
WHO EMRO | COVID-19 situation updates for week 39 (24-30 September 2023) | COVID-19 | Epidemic and pandemic ... - WHO Regional Office for the Eastern Mediterranean,WHO EMRO | COVID-19 situation updates for week 39 (24-30 September 2023) | COVID-19 | Epidemic and pandemic ...  WHO Regional Office for the Eastern Mediterranean,"Sat, 30 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmVtcm8ud2hvLmludC9wYW5kZW1pYy1lcGlkZW1pYy1kaXNlYXNlcy9jb3ZpZC0xOS9jb3ZpZC0xOS1zaXR1YXRpb24tdXBkYXRlcy1mb3Itd2Vlay0zOS0yNC0zMC1zZXB0ZW1iZXItMjAyMy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.emro.who.int', 'title': 'WHO Regional Office for the Eastern Mediterranean'}"
History foundation reaches agreement with state over $270000 in misdirected COVID-19 funds • Nebraska Examiner - Nebraska Examiner,History foundation reaches agreement with state over $270000 in misdirected COVID-19 funds • Nebraska Examiner  Nebraska Examiner,"Sat, 30 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL25lYnJhc2thZXhhbWluZXIuY29tLzIwMjMvMDkvMzAvaGlzdG9yeS1mb3VuZGF0aW9uLXJlYWNoZXMtYWdyZWVtZW50LXdpdGgtc3RhdGUtb3Zlci0yNzAwMDAtaW4tbWlzZGlyZWN0ZWQtY292aWQtMTktZnVuZHMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://nebraskaexaminer.com', 'title': 'Nebraska Examiner'}"
New Zealand PM tests COVID-positive two weeks before election - Reuters,New Zealand PM tests COVID-positive two weeks before election  Reuters,"Sat, 30 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FzaWEtcGFjaWZpYy9uZXctemVhbGFuZC1wbS10ZXN0cy1wb3NpdGl2ZS1jb3ZpZC0xOS13b3JrLXZpYS16b29tLTIwMjMtMTAtMDEv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
"How to Prepare for COVID, RSV and Flu Season - Health Matters","How to Prepare for COVID, RSV and Flu Season  Health Matters","Fri, 29 Sep 2023 23:25:48 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vaGVhbHRobWF0dGVycy5ueXAub3JnL2hvdy10by1wcmVwYXJlLWZvci1jb3ZpZC1yc3YtYW5kLWZsdS1zZWFzb24v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://healthmatters.nyp.org', 'title': 'Health Matters'}"
Understanding At-Home OTC COVID-19 Antigen Diagnostic Test Results - FDA.gov,Understanding At-Home OTC COVID-19 Antigen Diagnostic Test Results  FDA.gov,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy5mZGEuZ292L21lZGljYWwtZGV2aWNlcy9jb3JvbmF2aXJ1cy1jb3ZpZC0xOS1hbmQtbWVkaWNhbC1kZXZpY2VzL3VuZGVyc3RhbmRpbmctaG9tZS1vdGMtY292aWQtMTktYW50aWdlbi1kaWFnbm9zdGljLXRlc3QtcmVzdWx0c9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fda.gov', 'title': 'FDA.gov'}"
"Considerations for Coadministering COVID, Flu and/or RSV Vaccines this Fall - IDSA","Considerations for Coadministering COVID, Flu and/or RSV Vaccines this Fall  IDSA","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5pZHNvY2lldHkub3JnL2NvdmlkLTE5LXJlYWwtdGltZS1sZWFybmluZy1uZXR3b3JrL3ZhY2NpbmVzL2NvbnNpZGVyYXRpb25zLWZvci1jb2FkbWluaXN0ZXJpbmctY292aWQtZmx1LWFuZG9yLXJzdi12YWNjaW5lcy10aGlzLWZhbGwv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.idsociety.org', 'title': 'IDSA'}"
Covid Testing Moving - Veterans Affairs,Covid Testing Moving  Veterans Affairs,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LnZhLmdvdi9tb3VudGFpbi1ob21lLWhlYWx0aC1jYXJlL3N0b3JpZXMvY292aWQtdGVzdGluZy1tb3Zpbmcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.va.gov', 'title': 'Veterans Affairs'}"
Effectiveness of Maternal mRNA COVID-19 Vaccination During Pregnancy Against COVID-19–Associated ... - CDC,Effectiveness of Maternal mRNA COVID-19 Vaccination During Pregnancy Against COVID-19–Associated ...  CDC,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmNkYy5nb3YvbW13ci92b2x1bWVzLzcyL3dyL21tNzIzOWEzLmh0bdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cdc.gov', 'title': 'CDC'}"
COVID-19 Vaccination Recommendations and Practices for Women of Reproductive Age by Health Care Providers ... - CDC,COVID-19 Vaccination Recommendations and Practices for Women of Reproductive Age by Health Care Providers ...  CDC,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmNkYy5nb3YvbW13ci92b2x1bWVzLzcyL3dyL21tNzIzOWExLmh0bdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cdc.gov', 'title': 'CDC'}"
"Inequities in COVID-19 Vaccination Coverage Among Pregnant Persons, by Disaggregated Race and Ethnicity ... - CDC","Inequities in COVID-19 Vaccination Coverage Among Pregnant Persons, by Disaggregated Race and Ethnicity ...  CDC","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmNkYy5nb3YvbW13ci92b2x1bWVzLzcyL3dyL21tNzIzOWEyLmh0bdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cdc.gov', 'title': 'CDC'}"
"Influenza, Tdap, and COVID-19 Vaccination Coverage and Hesitancy Among Pregnant Women — United States, April ... - CDC","Influenza, Tdap, and COVID-19 Vaccination Coverage and Hesitancy Among Pregnant Women — United States, April ...  CDC","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmNkYy5nb3YvbW13ci92b2x1bWVzLzcyL3dyL21tNzIzOWE0Lmh0bdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cdc.gov', 'title': 'CDC'}"
"Keeping safe from COVID-19, influenza, and respiratory syncytial virus (RSV) this autumn and winter. Protecting lives ... - World Health Organization (WHO)","Keeping safe from COVID-19, influenza, and respiratory syncytial virus (RSV) this autumn and winter. Protecting lives ...  World Health Organization (WHO)","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMi4AFodHRwczovL3d3dy53aG8uaW50L2V1cm9wZS9uZXdzLXJvb20vZXZlbnRzL2l0ZW0vMjAyMy8wOS8yOS9kZWZhdWx0LWNhbGVuZGFyL2tlZXBpbmctc2FmZS1mcm9tLWNvdmlkLTE5LS1pbmZsdWVuemEtLWFuZC1yZXNwaXJhdG9yeS1zeW5jeXRpYWwtdmlydXMtKHJzdiktdGhpcy1hdXR1bW4tYW5kLXdpbnRlci4tcHJvdGVjdGluZy1saXZlcy4tc3RyZW5ndGhlbmluZy1oZWFsdGgtc3lzdGVtc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.who.int', 'title': 'World Health Organization (WHO)'}"
"What to know as fall vaccinations against COVID, flu and RSV get underway - The Associated Press","What to know as fall vaccinations against COVID, flu and RSV get underway  The Associated Press","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3ZhY2NpbmVzLWZsdS1jb3ZpZDE5LXJzdi12aXJ1c2VzLWZhbGwtOGZmYTZiZjBjMmMwZGExYTg4NDJkYjUyNGFhZDUwMDbSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://apnews.com', 'title': 'The Associated Press'}"
COVID is back. Is America tired? - Ipsos in Canada,COVID is back. Is America tired?  Ipsos in Canada,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3Lmlwc29zLmNvbS9lbi11cy9jb3ZpZC1iYWNrLWFtZXJpY2EtdGlyZWTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ipsos.com', 'title': 'Ipsos in Canada'}"
