title,description,published date,url,publisher
Holmes' measure to extend period for prosecution of COVID-19 fraud signed into law - Illinois Senate Democratic,Holmes' measure to extend period for prosecution of COVID-19 fraud signed into law  Illinois Senate Democratic,"Fri, 30 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5pbGxpbm9pc3NlbmF0ZWRlbW9jcmF0cy5jb20vY2F1Y3VzLW5ld3MvNTEtc2VuYXRvci1saW5kYS1ob2xtZXMtbmV3cy81MDM3LWhvbG1lcy1tZWFzdXJlLXRvLWV4dGVuZC1wZXJpb2QtZm9yLXByb3NlY3V0aW9uLW9mLWNvdmlkLTE5LWZyYXVkLXNpZ25lZC1pbnRvLWxhd9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.illinoissenatedemocrats.com', 'title': 'Illinois Senate Democratic'}"
CIA tried to pay off analysts to bury findings that COVID lab leak was likely: whistleblower - New York Post,CIA tried to pay off analysts to bury findings that COVID lab leak was likely: whistleblower  New York Post ,"Tue, 12 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzA5LzEyL2NpYS10cmllZC10by1wYXktb2ZmLWFuYWx5c3RzLXRvLWJ1cnktY292aWQtbGFiLWxlYWstZmluZGluZ3Mtd2hpc3RsZWJsb3dlci_SAW5odHRwczovL255cG9zdC5jb20vMjAyMy8wOS8xMi9jaWEtdHJpZWQtdG8tcGF5LW9mZi1hbmFseXN0cy10by1idXJ5LWNvdmlkLWxhYi1sZWFrLWZpbmRpbmdzLXdoaXN0bGVibG93ZXIvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
Judging How U.S. States Performed in the COVID-19 Pandemic Depends on the Metric - Council on Foreign Relations,Judging How U.S. States Performed in the COVID-19 Pandemic Depends on the Metric  Council on Foreign Relations,"Thu, 13 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNmci5vcmcvYXJ0aWNsZS9qdWRnaW5nLWhvdy11cy1zdGF0ZXMtcGVyZm9ybWVkLWNvdmlkLTE5LXBhbmRlbWljLWRlcGVuZHMtbWV0cmlj0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cfr.org', 'title': 'Council on Foreign Relations'}"
10 COVID-19 Masks That Will Ship Right Away - Health.com,10 COVID-19 Masks That Will Ship Right Away  Health.com,"Fri, 11 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmhlYWx0aC5jb20vY292aWQtMTktbWFza3MtZmFzdC1zaGlwcGluZy03NjQyNTQ50gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.com', 'title': 'Health.com'}"
Impact of COVID-19 on Passenger and Freight Transportation - U.S. Census Bureau,Impact of COVID-19 on Passenger and Freight Transportation  U.S. Census Bureau,"Wed, 27 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNlbnN1cy5nb3YvbGlicmFyeS9zdG9yaWVzLzIwMjMvMDkvYWlyLXRyYW5zcG9ydGF0aW9uLXBhbmRlbWljLWltcGFjdC5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.census.gov', 'title': 'U.S. Census Bureau'}"
Mask Up Again? COVID-19 Hospitalization Rates Rising - Videos from The Weather Channel - The Weather Channel,Mask Up Again? COVID-19 Hospitalization Rates Rising - Videos from The Weather Channel  The Weather Channel,"Thu, 10 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd2VhdGhlci5jb20vaGVhbHRoL2Nvcm9uYXZpcnVzL3ZpZGVvL21hc2stdXAtYWdhaW4tY292aWQtMTktaG9zcGl0YWxpemF0aW9uLXJhdGVzLXJpc2luZ9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://weather.com', 'title': 'The Weather Channel'}"
Global Covid cases up 80% as new subvariant rises - FRANCE 24 English,Global Covid cases up 80% as new subvariant rises  FRANCE 24 English,"Fri, 11 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9saXZlLW5ld3MvMjAyMzA4MTEtZ2xvYmFsLWNvdmlkLWNhc2VzLXVwLTgwLWFzLW5ldy1zdWJ2YXJpYW50LXJpc2VzLTHSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.france24.com', 'title': 'FRANCE 24 English'}"
Long-COVID patients have altered metabolite levels 2 years after infection - University of Minnesota Twin Cities,Long-COVID patients have altered metabolite levels 2 years after infection  University of Minnesota Twin Cities,"Tue, 01 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmNpZHJhcC51bW4uZWR1L2NvdmlkLTE5L2xvbmctY292aWQtcGF0aWVudHMtaGF2ZS1hbHRlcmVkLW1ldGFib2xpdGUtbGV2ZWxzLTIteWVhcnMtYWZ0ZXItaW5mZWN0aW9u0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cidrap.umn.edu', 'title': 'University of Minnesota Twin Cities'}"
"At Yale's Long COVID Clinic, Lisa Sanders Is Trying It All - New York Magazine","At Yale's Long COVID Clinic, Lisa Sanders Is Trying It All  New York Magazine","Tue, 29 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vbnltYWcuY29tL2ludGVsbGlnZW5jZXIvYXJ0aWNsZS9sb25nLWNvdmlkLXRyZWF0bWVudC1saXNhLXNhbmRlcnMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://nymag.com', 'title': 'New York Magazine'}"
AstraZeneca Q2 results beat estimates; COVID vaccine sales dry up - Reuters,AstraZeneca Q2 results beat estimates; COVID vaccine sales dry up  Reuters,"Fri, 28 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2hlYWx0aGNhcmUtcGhhcm1hY2V1dGljYWxzL2FzdHJhemVuZWNhLXNlY29uZC1xdWFydGVyLXByb2ZpdC1iZWF0cy1leHBlY3RhdGlvbnMtMjAyMy0wNy0yOC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
Everything you need to know about COVID toes - MercyOne,Everything you need to know about COVID toes  MercyOne,"Mon, 24 Jul 2023 18:23:08 GMT",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3Lm1lcmN5b25lLm9yZy9oZWFsdGgtYW5kLXdlbGxuZXNzL2hlYWx0aC1hbnN3ZXJzL2luZmVjdGlvdXMtZGlzZWFzZXMvZXZlcnl0aGluZy15b3UtbmVlZC10by1rbm93LWFib3V0LWNvdmlkLXRvZXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mercyone.org', 'title': 'MercyOne'}"
