title,description,published date,url,publisher
California COVID cases are increasing. What you need to know - CalMatters,California COVID cases are increasing. What you need to know  CalMatters,"Fri, 01 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vY2FsbWF0dGVycy5vcmcvaGVhbHRoLzIwMjMvMDkvY2FsaWZvcm5pYS1jb3ZpZC1jYXNlcy12YWNjaW5lLWJvb3N0ZXItMjAyMy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://calmatters.org', 'title': 'CalMatters'}"
U.S. Supreme Court's Sotomayor keeps New York City COVID vaccine mandate - Reuters,U.S. Supreme Court's Sotomayor keeps New York City COVID vaccine mandate  Reuters,"Mon, 29 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VzL3VzLXN1cHJlbWUtY291cnRzLXNvdG9tYXlvci1rZWVwcy1uZXcteW9yay1jaXR5LWNvdmlkLXZhY2NpbmUtbWFuZGF0ZS0yMDIyLTA4LTI5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
"Josh Shapiro, Dem. candidate for Pa. gov., tests positive for COVID-19 - WHYY","Josh Shapiro, Dem. candidate for Pa. gov., tests positive for COVID-19  WHYY","Tue, 17 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd2h5eS5vcmcvYXJ0aWNsZXMvam9zaC1zaGFwaXJvLWNvdmlkLXBvc2l0aXZlLXBlbm5zeWx2YW5pYS1lbGVjdGlvbi1nb3Zlcm5vci_SAVlodHRwczovL3doeXkub3JnL2FydGljbGVzL2pvc2gtc2hhcGlyby1jb3ZpZC1wb3NpdGl2ZS1wZW5uc3lsdmFuaWEtZWxlY3Rpb24tZ292ZXJub3IvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://whyy.org', 'title': 'WHYY'}"
COVID was the leading cause of law enforcement deaths in 2022 for 3rd year in a row: Report - ABC News,COVID was the leading cause of law enforcement deaths in 2022 for 3rd year in a row: Report  ABC News,"Wed, 11 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vYWJjbmV3cy5nby5jb20vSGVhbHRoL2NvdmlkLWxlYWRpbmctY2F1c2UtbGF3LWVuZm9yY2VtZW50LWRlYXRocy0yMDIyLTNyZC9zdG9yeT9pZD05NjM2MzMyNNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://abcnews.go.com', 'title': 'ABC News'}"
"Racial disparities in Michigan COVID-19 deaths all but gone, panel finds - Bridge Michigan","Racial disparities in Michigan COVID-19 deaths all but gone, panel finds  Bridge Michigan","Mon, 27 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJyaWRnZW1pLmNvbS9taWNoaWdhbi1oZWFsdGgtd2F0Y2gvcmFjaWFsLWRpc3Bhcml0aWVzLW1pY2hpZ2FuLWNvdmlkLTE5LWRlYXRocy1hbGwtZ29uZS1wYW5lbC1maW5kc9IBc2h0dHBzOi8vd3d3LmJyaWRnZW1pLmNvbS9taWNoaWdhbi1oZWFsdGgtd2F0Y2gvcmFjaWFsLWRpc3Bhcml0aWVzLW1pY2hpZ2FuLWNvdmlkLTE5LWRlYXRocy1hbGwtZ29uZS1wYW5lbC1maW5kcz9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bridgemi.com', 'title': 'Bridge Michigan'}"
What Does a Faint Line on a Rapid Test Mean? - Cedars-Sinai,What Does a Faint Line on a Rapid Test Mean?  Cedars-Sinai,"Tue, 16 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNlZGFycy1zaW5haS5vcmcvbmV3c3Jvb20vaGVhbHRoY29tLXdoeS1ldmVuLWEtZmFpbnQtbGluZS1vbi15b3VyLXJhcGlkLXRlc3Qtc3RpbGwtbWVhbnMteW91cmUtY292aWQtLXBvc2l0aXZlL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cedars-sinai.org', 'title': 'Cedars-Sinai'}"
COVID-19 outbreaks in Australian residential aged care facilities – 24 February 2023 - Department of Health,COVID-19 outbreaks in Australian residential aged care facilities – 24 February 2023  Department of Health,"Fri, 24 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5oZWFsdGguZ292LmF1L3Jlc291cmNlcy9wdWJsaWNhdGlvbnMvY292aWQtMTktb3V0YnJlYWtzLWluLWF1c3RyYWxpYW4tcmVzaWRlbnRpYWwtYWdlZC1jYXJlLWZhY2lsaXRpZXMtMjQtZmVicnVhcnktMjAyMz9sYW5ndWFnZT1lbtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.gov.au', 'title': 'Department of Health'}"
What Are COVID-19 Signs and Symptoms in People of All Ages? - Health.com,What Are COVID-19 Signs and Symptoms in People of All Ages?  Health.com,"Sat, 26 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmhlYWx0aC5jb20vY29uZGl0aW9uL2luZmVjdGlvdXMtZGlzZWFzZXMvY29yb25hdmlydXMtc3ltcHRvbXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.com', 'title': 'Health.com'}"
What to know about the EG.5 ‘Eris’ variant and rising Covid hospitalizations - NBC News,What to know about the EG.5 ‘Eris’ variant and rising Covid hospitalizations  NBC News,"Tue, 08 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL2hlYWx0aC9oZWFsdGgtbmV3cy9lZzUtY29yb25hdmlydXMtdmFyaWFudC1kb21pbmFudC1zeW1wdG9tcy1zcHJlYWQtcmNuYTk4NzY40gEqaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvcmNuYTk4NzY4?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
CDC signs off on additional Covid-19 booster doses for certain people - CNN,CDC signs off on additional Covid-19 booster doses for certain people  CNN,"Wed, 19 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNC8xOS9oZWFsdGgvY2RjLWNvdmlkLW1ybmEtYm9vc3Rlci1yZWNvbW1lbmRhdGlvbi9pbmRleC5odG1s0gFPaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wNC8xOS9oZWFsdGgvY2RjLWNvdmlkLW1ybmEtYm9vc3Rlci1yZWNvbW1lbmRhdGlvbg?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
