title,description,published date,url,publisher
"COVID symptoms: 40% of coronavirus cases are asymptomatic, study finds - USA TODAY","COVID symptoms: 40% of coronavirus cases are asymptomatic, study finds  USA TODAY","Tue, 14 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL2hlYWx0aC8yMDIxLzEyLzE0L2NvdmlkLXN5bXB0b21zLTQwLWNvcm9uYXZpcnVzLWNhc2VzLWFzeW1wdG9tYXRpYy1zdHVkeS1maW5kcy82NDk1NjkzMDAxL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
Coronavirus: Purple 'covid toes' symptom can last FIVE MONTHS - Daily Mail,Coronavirus: Purple 'covid toes' symptom can last FIVE MONTHS  Daily Mail,"Thu, 29 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtODg5MjY2Ny9Db3ZpZC10b2VzLXR1cm4tcHVycGxlLWRpc2Vhc2UtRklWRS1NT05USFMuaHRtbNIBZGh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtODg5MjY2Ny9hbXAvQ292aWQtdG9lcy10dXJuLXB1cnBsZS1kaXNlYXNlLUZJVkUtTU9OVEhTLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.dailymail.co.uk', 'title': 'Daily Mail'}"
"Jill Biden tests positive for covid, with 'mild symptoms,' White House says - The Washington Post","Jill Biden tests positive for covid, with 'mild symptoms,' White House says  The Washington Post","Mon, 04 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9wb2xpdGljcy8yMDIzLzA5LzA0L2ppbGwtYmlkZW4tY292aWQtcG9zaXRpdmUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
Is it Covid or Lyme disease? Key symptom to spot as infections cause similar signs - The Mirror,Is it Covid or Lyme disease? Key symptom to spot as infections cause similar signs  The Mirror,"Sun, 14 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm1pcnJvci5jby51ay9uZXdzL2hlYWx0aC9jb3ZpZC1seW1lLWRpc2Vhc2Uta2V5LXN5bXB0b20tMjc3MTM2MjTSAVBodHRwczovL3d3dy5taXJyb3IuY28udWsvbmV3cy9oZWFsdGgvY292aWQtbHltZS1kaXNlYXNlLWtleS1zeW1wdG9tLTI3NzEzNjI0LmFtcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mirror.co.uk', 'title': 'The Mirror'}"
Coronavirus symptoms: Signs COVID-19 has impacted your digestion - The Times of India,Coronavirus symptoms: Signs COVID-19 has impacted your digestion  The Times of India,"Tue, 09 Mar 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMioQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9saWZlLXN0eWxlL2hlYWx0aC1maXRuZXNzL2hlYWx0aC1uZXdzL2Nvcm9uYXZpcnVzLXN5bXB0b21zLXNpZ25zLWNvdmlkLTE5LWhhcy1pbXBhY3RlZC15b3VyLWRpZ2VzdGlvbi9waG90b3N0b3J5LzgxMzk1NTE3LmNtc9IBpwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9saWZlLXN0eWxlL2hlYWx0aC1maXRuZXNzL2hlYWx0aC1uZXdzL2Nvcm9uYXZpcnVzLXN5bXB0b21zLXNpZ25zLWNvdmlkLTE5LWhhcy1pbXBhY3RlZC15b3VyLWRpZ2VzdGlvbi9hbXBfZXRwaG90b3N0b3J5LzgxMzk1NTE3LmNtcw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://timesofindia.indiatimes.com', 'title': 'The Times of India'}"
8 surprising long-COVID symptoms - Nebraska Medicine,8 surprising long-COVID symptoms  Nebraska Medicine,"Mon, 07 Mar 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3Lm5lYnJhc2thbWVkLmNvbS9DT1ZJRC84LXN1cnByaXNpbmctbG9uZy1jb3ZpZC1zeW1wdG9tc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nebraskamed.com', 'title': 'Nebraska Medicine'}"
Smell and taste changes last longer than other COVID-19 symptoms - News-Medical.Net,Smell and taste changes last longer than other COVID-19 symptoms  News-Medical.Net,"Mon, 28 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3Lm5ld3MtbWVkaWNhbC5uZXQvbmV3cy8yMDIwMDkyOC9TbWVsbC1hbmQtdGFzdGUtY2hhbmdlcy1sYXN0LWxvbmdlci10aGFuLW90aGVyLUNPVklELTE5LXN5bXB0b21zLmFzcHjSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.news-medical.net', 'title': 'News-Medical.Net'}"
Eating Disorder Symptoms Have Spiked During Covid - The New York Times,Eating Disorder Symptoms Have Spiked During Covid  The New York Times,"Wed, 31 Mar 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMDMvMzEvd2VsbC9taW5kL2NvdmlkLWVhdGluZy1kaXNvcmRlcnMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
New Symptoms of COVID-19: Blocked Nose And 2 Other Signs COVID Infected Patients May Notice | TheHealthSit - TheHealthSite,New Symptoms of COVID-19: Blocked Nose And 2 Other Signs COVID Infected Patients May Notice | TheHealthSit  TheHealthSite,"Sun, 15 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LnRoZWhlYWx0aHNpdGUuY29tL25ld3MvbmV3LXN5bXB0b21zLW9mLWNvdmlkLTE5LWJsb2NrZWQtbm9zZS1hbmQtMi1vdGhlci10b3Atc2lnbnMtb2YtY292aWQtaW5mZWN0aW9uLTk0MzI2OC_SAX1odHRwczovL3d3dy50aGVoZWFsdGhzaXRlLmNvbS9uZXdzL25ldy1zeW1wdG9tcy1vZi1jb3ZpZC0xOS1ibG9ja2VkLW5vc2UtYW5kLTItb3RoZXItdG9wLXNpZ25zLW9mLWNvdmlkLWluZmVjdGlvbi05NDMyNjgvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thehealthsite.com', 'title': 'TheHealthSite'}"
Some COVID-19 Patients Present With GI Symptoms Only - Medpage Today,Some COVID-19 Patients Present With GI Symptoms Only  Medpage Today,"Tue, 31 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3Lm1lZHBhZ2V0b2RheS5jb20vaW5mZWN0aW91c2Rpc2Vhc2UvY292aWQxOS84NTcyMdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.medpagetoday.com', 'title': 'Medpage Today'}"
